"ID","name","fa_loans_debt_avg_d"
"690","University of Maine at Presque Isle",23777
"692","College of the Atlantic",23926
"693","Bates College",18929
"694","Bowdoin College",25503
"695","Colby College",21958
"696","Husson University",32343
"700","Thomas College",36278
"704","Bowie State University",29737
"706","Frostburg State University",24916
"709","University of Maryland-Baltimore County",25925
"710","University of Maryland-College Park",25131
"711","University of Maryland Eastern Shore",27562
"712","Morgan State University",35568
"713","Salisbury University",24567
"714","St Mary's College of Maryland",24621
"715","Towson University",25926
"719","Goucher College",25580
"720","Hood College",31229
"721","Johns Hopkins University",23627
"722","Loyola University Maryland",34190
"724","Mount St Mary's University",36130
"726","Notre Dame of Maryland University",32346
"728","St John's College",28730
"729","Stevenson University",32503
"730","Washington College",35833
"731","McDaniel College",31568
"736","Bridgewater State University",32040
"738","Framingham State University",18027
"739","University of Massachusetts-Lowell",30505
"740","University of Massachusetts-Amherst",30453
"741","University of Massachusetts-Boston",27229
"742","Massachusetts College of Art and Design",26792
"743","Massachusetts Maritime Academy",37582
"744","Massachusetts College of Liberal Arts",28817
"746","University of Massachusetts-Dartmouth",31070
"747","Westfield State University",26326
"748","Worcester State University",25654
"750","Amherst College",14490
"751","Anna Maria College",51934
"752","Assumption College",34417
"753","Babson College",35290
"757","Bentley University",30602
"758","Berklee College of Music",15838
"760","Boston College",21139
"762","Boston University",39166
"763","Brandeis University",30848
"766","Clark University",24990
"767","Curry College",43388
"769","Eastern Nazarene College",25251
"770","Emerson College",23606
"771","Emmanuel College",35679
"772","Endicott College",39187
"775","Gordon College",38456
"776","Hampshire College",20432
"777","Harvard University",15117
"780","College of the Holy Cross",28354
"781","Lasell College",37302
"782","Lesley University",23000
"784","MCPHS University",14618
"785","Massachusetts Institute of Technology",19064
"789","Mount Holyoke College",23914
"791","School of the Museum of Fine Arts-Boston",34081
"792","The New England Conservatory of Music",25288
"795","Nichols College",32747
"797","College of Our Lady of the Elms",35089
"798","Pine Manor College",32975
"803","Smith College",24758
"804","Springfield College",41659
"805","Stonehill College",31622
"806","Suffolk University",29535
"807","Tufts University",26616
"808","Wellesley College",12956
"811","Wheaton College",29651
"812","Wheelock College",46690
"813","Williams College",14170
"817","Franklin W Olin College of Engineering",19992
"820","Central Michigan University",33545
"821","Eastern Michigan University",25781
"822","Ferris State University",35720
"823","Grand Valley State University",30222
"825","University of Michigan-Ann Arbor",26510
"826","Michigan State University",26122
"827","Michigan Technological University",36041
"828","University of Michigan-Dearborn",22168
"829","University of Michigan-Flint",32107
"830","Northern Michigan University",29618
"832","Oakland University",26724
"834","Wayne State University",23785
"835","Western Michigan University",32720
"836","Adrian College",27741
"837","Albion College",37151
"838","Alma College",32389
"839","Andrews University",36536
"840","Aquinas College",22396
"843","Calvin College",29403
"845","Concordia University-Ann Arbor",17853
"851","Cornerstone University",27919
"853","Hope College",31717
"854","Kalamazoo College",28405
"855","Lawrence Technological University",38966
"861","Olivet College",26222
"865","Spring Arbor University",36866
"879","Minnesota State University-Mankato",31568
"881","University of Minnesota-Twin Cities",26796
"882","University of Minnesota-Crookston",23621
"883","University of Minnesota-Duluth",31244
"886","Saint Cloud State University",31953
"888","Winona State University",35131
"891","Bethany Lutheran College",33384
"892","Bethel University",33685
"893","Carleton College",18302
"895","Concordia University-Saint Paul",30747
"896","Martin Luther College",17391
"897","Gustavus Adolphus College",36636
"898","Hamline University",36006
"899","Macalester College",24156
"900","Minneapolis College of Art and Design",33400
"906","College of Saint Benedict",39437
"907","Saint Johns University",38089
"908","Saint Mary's University of Minnesota",33216
"909","St Olaf College",28396
"911","The College of Saint Scholastica",42792
"912","University of St Thomas",37131
"913","St Catherine University",39748
"915","Alcorn State University",34725
"917","Jackson State University",31576
"918","University of Mississippi",26443
"920","Mississippi University for Women",21095
"922","Mississippi State University",29365
"923","University of Southern Mississippi",17806
"924","Belhaven University",26800
"925","Blue Mountain College",24571
"926","Millsaps College",29021
"927","Mississippi College",29189
"932","University of Central Missouri",27424
"934","Lincoln University",30225
"935","Missouri Southern State University",29405
"936","Missouri Western State University",26015
"937","University of Missouri-Columbia",25321
"938","University of Missouri-Kansas City",29464
"939","Missouri University of Science and Technology",27591
"940","University of Missouri-St Louis",25208
"941","Truman State University",23585
"942","Northwest Missouri State University",24710
"943","Southeast Missouri State University",26508
"944","Missouri State University-Springfield",24655
"948","Calvary Bible College and Theological Seminary",9993
"950","Central Methodist University-College of Liberal Arts and Sciences",28902
"951","Columbia College",14591
"952","Conception Seminary College",27243
"954","Culver-Stockton College",24487
"955","Drury University",25336
"956","Evangel University",30179
"957","Fontbonne University",24281
"960","Kansas City Art Institute",25000
"964","Maryville University of Saint Louis",31696
"966","Missouri Baptist University",25337
"967","Missouri Valley College",25200
"969","College of the Ozarks",6282
"970","Park University",22115
"972","Rockhurst University",24852
"973","Saint Louis University",35615
"974","Saint Louis Christian College",32975
"975","Southwest Baptist University",26615
"977","Stephens College",26824
"978","Washington University in St Louis",23858
"979","Webster University",30413
"980","Westminster College",29004
"981","William Jewell College",29885
"982","William Woods University",21260
"985","Montana State University-Billings",27225
"986","Montana Tech of the University of Montana",24448
"987","Montana State University",27200
"988","The University of Montana",27203
"991","Carroll College",26996
"992","University of Great Falls",23340
"993","Rocky Mountain College",29206
"997","University of Nebraska at Kearney",23229
"998","University of Nebraska at Omaha",26866
"1000","University of Nebraska-Lincoln",23395
"1006","Concordia University-Nebraska",29002
"1007","Creighton University",33428
"1008","Doane College-Crete",29994
"1010","Hastings College",27784
"1011","Nebraska Methodist College of Nursing & Allied Health",31591
"1016","College of Saint Mary",29538
"1017","Union College",29020
"1021","University of Nevada-Las Vegas",18542
"1022","University of Nevada-Reno",22500
"1029","University of New Hampshire-Main Campus",36965
"1030","Keene State College",33796
"1031","University of New Hampshire at Manchester",29393
"1032","Plymouth State University",32327
"1035","Dartmouth College",17171
"1036","Franklin Pierce University",38546
"1038","New England College",31073
"1041","Saint Anselm College",35601
"1044","Rowan University",31759
"1045","New Jersey City University",20763
"1046","Kean University",32886
"1047","Montclair State University",28070
"1049","Ramapo College of New Jersey",29972
"1050","Rutgers University-Camden",28651
"1051","Rutgers University-New Brunswick",25228
"1052","Rutgers University-Newark",26993
"1053","The Richard Stockton College of New Jersey",33543
"1055","The College of New Jersey",33635
"1056","William Paterson University of New Jersey",25062
"1058","Bloomfield College",33443
"1059","Caldwell College",22250
"1061","Drew University",24778
"1065","Georgian Court University",40551
"1066","Monmouth University",30678
"1067","Princeton University",6600
"1069","Rider University",28080
"1084","Eastern New Mexico University-Main Campus",4895
"1086","New Mexico Highlands University",14106
"1087","New Mexico Institute of Mining and Technology",20944
"1089","New Mexico State University-Main Campus",18628
"1091","Western New Mexico University",29758
"1093","St John's College",25570
"1094","CUNY Bernard M Baruch College",5511
"1095","CUNY Brooklyn College",12500
"1097","CUNY City College",16942
"1100","CUNY John Jay College of Criminal Justice",11246
"1101","CUNY Lehman College",8525
"1105","CUNY York College",4745
"1106","Fashion Institute of Technology",27303
"1108","SUNY College of Technology at Canton",30905
"1110","SUNY College of Agriculture and Technology at Cobleskill",24952
"1112","Morrisville State College",29023
"1113","SUNY at Albany",24779
"1114","SUNY at Binghamton",25727
"1116","Stony Brook University",24884
"1117","SUNY College of Environmental Science and Forestry",25399
"1119","SUNY College at Brockport",27666
"1120","Buffalo State SUNY",24290
"1121","SUNY College at Cortland",27472
"1122","SUNY at Fredonia",28900
"1123","SUNY College at Geneseo",23308
"1124","State University of New York at New Paltz",25874
"1126","SUNY College at Oswego",28362
